Name;Korobka;1st img URL;Year;Dvigatel;Moshnost L.S.;Privod;1-st Price;brand;opt1;opt2;opt3;opt4;opt5;opt6;co1;co2;co3;co4;co5;co6;co7;co8;co9;co10;co11;co12;co13;co14;co15;co16;co17;co18;co19;co20;co21;co22;co23;co24;co25;co26;co27;co28;co29;text;class
Lexus LX 450d;AT;https://prostoprokat.ru/upload/resize_cache/iblock/aaf/534_300_1/lexus-lx450d.jpg;2017;4,5л ;272 л.с.;Полный постоянный;18900;lexus;Бесплатно;3000;500;1500;1000;50;Объём топливного бака 93;Объем багажника мин./макс., 701/1276;Запуск двигателя с кнопки;Парктроники перед/зад,скрытые камеры в обзоре 360;Камера заднего вида;Кожаный салон (черный);Зеркала с обогревом и электроприводом;Электрорегулировка рулевой колонки с подогревом;"Отделка салона вставками ""под дерево""";Круиз-контроль;Датчик дождя/света;Омыватель фар;4-х зонный климат-контроль;Цветной дисплей на центральной консоли 12.3 дюйма с системой навигации  ;Элементы отделки салона под дерево;Легкосплавные диски R18;Светодиодные головные фары и ПТФ;Боковые подножки с подстветкой;Сиденье водителя с электрорегулировкой,подогревом,вентиляцией и пямятью в 3-х положениях;Aудиосистема премиум-класса Mark Levinson®;Bluetooth, USB,Aux,CD,MP3, 9 динамиков;Проекция пространства под днищем автомобиля;Интелектуальная системы доступа в автомобиль;Рейлинги на крыше;Подушки безопасности для всех пассажиров;Беспроводное зарядное устройство для всех смартфонов ;Мультифункциональное рулевое колесо с кожанной отделкой и деревянными вставками ;Салонное зеркало заднего вида с автозатемнением;Подогрев 2 ряда с электрорегулировкой;"
Вам необходима аренда люксового автомобиля? Тогда Вы на верном пути. «Просто Прокат» предлагает свои услуги по весьма низким ценам. Аренда Lexus LX 570 позволит вам окунуться в мир роскоши, не обращая внимания на необходимость сервисного обслуживания. Все автомобили нашего парка проходят постоянный технический осмотр и чистку, поэтому находятся в идеальном состоянии. Вы можете взять на прокат Лексус 570 и пронестись по главным улицам города, комфортно добраться до места деловой встречи или рвануть на уикенд за город. 
Мы имеем большой опыт работы, поэтому у нас было время изучить предпочтение своих клиентов. Чаще всего определяющим моментом в пользу выбора той или иной машины становится именно двигатель. Аренда Lexus LX 570 подойдет любителям бензиновых двигателей, а Lexus LX 450d выбирают те, кто предпочитает дизель.
Прокат Lexus LX 570
Споры, касающиеся преимущества типа двигателя актуальны, и решить их невозможно. Аренда Лексус 570 будет выгодна тем, кому нужен автомобиль с мягким звуком работы, устойчивый к морозам.  С другой стороны, новые технологии с улучшенной шумоизоляцией моторного отсека позволяют дизельному двигателю Lexus LX 450d работать практически с тем же звуком, что и бензиновый. 
Если сравнивать финансовую сторону вопроса, то дизельный двигатель окажется несколько экономичнее. Дело в том, что этот тип расходует на 15-20% меньше топлива, чем бензиновый. Вдобавок к этому, бензин имеет более высокую стоимость, поэтому прокат Lexus LX 450d будет выгоден для поездок на дальние расстояния. Если же Вам нужен презентабельный люксовый внедорожник, мы можем предложить обновленную модель Toyota Land Cruiser 200 в новом кузове на схожей платформе.
Наша компания «Просто Прокат» организует аренду автомобилей любого класса. Мы найдем подход к каждому клиенту и осуществим вашу мечту. 
";vnedorozhnik
Lexus LX 450d;AT;https://prostoprokat.ru/upload/resize_cache/iblock/aaf/534_300_1/lexus-lx450d.jpg;2017;4,5л ;272 л.с.;Полный постоянный;18900;lexus;Бесплатно;3000;500;1500;1000;50;Объём топливного бака 93;Объем багажника мин./макс., 701/1276;Запуск двигателя с кнопки;Парктроники перед/зад,скрытые камеры в обзоре 360;Камера заднего вида;Кожаный салон (черный);Зеркала с обогревом и электроприводом;Электрорегулировка рулевой колонки с подогревом;"Отделка салона вставками ""под дерево""";Круиз-контроль;Датчик дождя/света;Омыватель фар;4-х зонный климат-контроль;Цветной дисплей на центральной консоли 12.3 дюйма с системой навигации  ;Элементы отделки салона под дерево;Легкосплавные диски R18;Светодиодные головные фары и ПТФ;Боковые подножки с подстветкой;Сиденье водителя с электрорегулировкой,подогревом,вентиляцией и пямятью в 3-х положениях;Aудиосистема премиум-класса Mark Levinson®;Bluetooth, USB,Aux,CD,MP3, 9 динамиков;Проекция пространства под днищем автомобиля;Интелектуальная системы доступа в автомобиль;Рейлинги на крыше;Подушки безопасности для всех пассажиров;Беспроводное зарядное устройство для всех смартфонов ;Мультифункциональное рулевое колесо с кожанной отделкой и деревянными вставками ;Салонное зеркало заднего вида с автозатемнением;Подогрев 2 ряда с электрорегулировкой;"
Вам необходима аренда люксового автомобиля? Тогда Вы на верном пути. «Просто Прокат» предлагает свои услуги по весьма низким ценам. Аренда Lexus LX 570 позволит вам окунуться в мир роскоши, не обращая внимания на необходимость сервисного обслуживания. Все автомобили нашего парка проходят постоянный технический осмотр и чистку, поэтому находятся в идеальном состоянии. Вы можете взять на прокат Лексус 570 и пронестись по главным улицам города, комфортно добраться до места деловой встречи или рвануть на уикенд за город. 
Мы имеем большой опыт работы, поэтому у нас было время изучить предпочтение своих клиентов. Чаще всего определяющим моментом в пользу выбора той или иной машины становится именно двигатель. Аренда Lexus LX 570 подойдет любителям бензиновых двигателей, а Lexus LX 450d выбирают те, кто предпочитает дизель.
Прокат Lexus LX 570
Споры, касающиеся преимущества типа двигателя актуальны, и решить их невозможно. Аренда Лексус 570 будет выгодна тем, кому нужен автомобиль с мягким звуком работы, устойчивый к морозам.  С другой стороны, новые технологии с улучшенной шумоизоляцией моторного отсека позволяют дизельному двигателю Lexus LX 450d работать практически с тем же звуком, что и бензиновый. 
Если сравнивать финансовую сторону вопроса, то дизельный двигатель окажется несколько экономичнее. Дело в том, что этот тип расходует на 15-20% меньше топлива, чем бензиновый. Вдобавок к этому, бензин имеет более высокую стоимость, поэтому прокат Lexus LX 450d будет выгоден для поездок на дальние расстояния. Если же Вам нужен презентабельный люксовый внедорожник, мы можем предложить обновленную модель Toyota Land Cruiser 200 в новом кузове на схожей платформе.
Наша компания «Просто Прокат» организует аренду автомобилей любого класса. Мы найдем подход к каждому клиенту и осуществим вашу мечту. 
";vip
Mazda 6 GJ Рестайлинг II;AT;https://prostoprokat.ru/upload/resize_cache/iblock/77d/534_300_1/77dd9442f63fde2cd57c5557cdb62427.JPG;2019;2.0л;150 л.с.;Передний;5900;mazda;Бесплатно;1200;500;1500;1000;50;Литые диски R17;Кожаная оплетка руля, ручки КПП;Салон тканевый черный;Зеркала с электроприводом и обогревом с автоскладыванием;TFT-дисплей с HMI-коммандером, радио, CD, MP3;Bluetooth hands-free;Датчики дождя, света и уровня омывающей жидкости;Климат-контроль (двухзонный);Подогрев сидений;Стеклоподъемники;ABS . DSC . EBA . EBD;Омыватель фар;G-Vectoring Control ;Система мониторинга давления в шинах;Фронтальные и боковые подушки безопасности;Электронный стояночный тормоз;;;;;;;;;;;;;;"
            Обновленный седан Mazda 6 2019 года модернизирована по многим параметрам. Взять на прокат новую Мазду 6 в офисе компании Просто Прокат можно в любое время, мы работаем круглосуточно. Вы точно получите удовольствие от вождения этого авто, ведь как внешне, там и ""внутренне"" он стал приятнее, мощнее и престижнее.

Решетка радиатора стала больше и заметнее, а вот фары стали уже. Противотуманки переместились в блок ближнего и дальнего света. Воздухозаборник на переднем бампере тоже изменил свою форму.

Приборная панель с дисплеем 8 дюймов смотрится технологично и удобна в обращении. Приборная панель смотрится лаконично, Передние кресла стали шире, наполнитель в них изменился на более качественный, также появилась вентиляция сидений. Также изменилась форма руля и климат-контроля.

В рестайлинге пересмотрели геометрию подвески, перенастроили пружины и аммортизаторы. Ход автомобиля стал мягче и комфортнее. 

Аренда новой Mazda 6 GJ принесет Вам удовольствие, наполнит новыми положительными эмоциями. 
Этот автомобиль также доступен для выкупа!

Что необходимо для оформления договора аренды физическим лицам
гражданский паспорт;
водительское удостоверение с соответствующей категорией;
загранпаспорт или военный билет или ИНН.
Лицами, не являющимся гражданами РФ, также предоставляется миграционная карта, паспорт плюс нотариально заверенный его перевод и разрешение на регистрацию/работу в Москве. При наличии этих документов Mazda 6 GJ оформляется в автопрокат без проблем.

Использовать данный автомобиль взятый в прокат Вы можете не только на территории Москвы и Московской области, но и за пределами его субъекта.

Так же на наших автомобилях нет стикеров, наклеек и другой рекламы, что не выделяет автомобиль как взятый Вами в автопрокате.

По условиям аренды этого автомобиля Вы можете связаться по телефону или whatsapp с нашими менеджерами круглосуточно (24 часа).

Документы необходимые для юридических лиц
данные гендиректора и реквизиты компании;
доверенность, выданная компанией на право подписания акта приема-передачи и договора аренды;
водительское удостоверение и паспорт тех сотрудников, которые допускаются к управлению.
Условия для аренды Mazda 6
Со своей стороны Вы подтверждаете, что Ваш водительский стаж превысил 3 года, а в случае выезда за пределы Московской области километраж безлимитный, а при выезде за границу РФ, не превысит за сутки 250км.

Таким образом, прокат Мазда 6 GJ процедура простая, без существенных вложений в виде залога и строгих ограничений.         ";business
Mazda CX-5 II;AT;https://prostoprokat.ru/upload/resize_cache/iblock/a43/534_300_1/a43ed54a1f3fc1bf4132a528effaf170.jpg;2020;2.0;150 л.с.;Полный;6800;mazda;Бесплатно;1500;500;1500;1000;50;Полный привод;Климат контроль;Круиз котроль;Парктроники передние, задние;CarPlay & Android Auto;Hands Free с технологией Bluetooth;Светодиодные противотуманные фары (LED);Электропривод сложения боковых зеркал;Многофунциональный ТFT дисплей;Тонированные заднее и боковые стекла;Рулевое колесо и селектор КПП с отделкой кожей;Регулировка рулевой колонки по высоте и вылету;Передние и задние электростеклоподъёмники;Мультифункциональное рулевое колесо;Подогрев передних сидений;"Легкосплавные диски 17""";;;;;;;;;;;;;;"
Аренда Mazda CX-5

	 Обновленная версия популярного кроссовера Mazda CX-5 II поколения, теперь доступна в аренду в нашем парке. 


	 Автомобиль в хорошей комплектации: полный привод, климат контроль, круиз контроль с управление на рулевом колесе, CarPlay & Android Auto, Hands Free с технологией Bluetooth

Автомобиль можно взять в аренду от 1 суток
Технические характеристики:



Двигатель: 2.0 бензин (150 л.с.)
КПП: Автоматическая 6-ти ступенчатая 
Привод: полный
Цвет – Темно-синий




 ";business
Mazda CX-5 II;AT;https://prostoprokat.ru/upload/resize_cache/iblock/a43/534_300_1/a43ed54a1f3fc1bf4132a528effaf170.jpg;2020;2.0;150 л.с.;Полный;6800;mazda;Бесплатно;1500;500;1500;1000;50;Полный привод;Климат контроль;Круиз котроль;Парктроники передние, задние;CarPlay & Android Auto;Hands Free с технологией Bluetooth;Светодиодные противотуманные фары (LED);Электропривод сложения боковых зеркал;Многофунциональный ТFT дисплей;Тонированные заднее и боковые стекла;Рулевое колесо и селектор КПП с отделкой кожей;Регулировка рулевой колонки по высоте и вылету;Передние и задние электростеклоподъёмники;Мультифункциональное рулевое колесо;Подогрев передних сидений;"Легкосплавные диски 17""";;;;;;;;;;;;;;"
Аренда Mazda CX-5

	 Обновленная версия популярного кроссовера Mazda CX-5 II поколения, теперь доступна в аренду в нашем парке. 


	 Автомобиль в хорошей комплектации: полный привод, климат контроль, круиз контроль с управление на рулевом колесе, CarPlay & Android Auto, Hands Free с технологией Bluetooth

Автомобиль можно взять в аренду от 1 суток
Технические характеристики:



Двигатель: 2.0 бензин (150 л.с.)
КПП: Автоматическая 6-ти ступенчатая 
Привод: полный
Цвет – Темно-синий




 ";vnedorozhnik
Mercedes Benz G-Class 350d AMG Рестайлинг;AT;https://prostoprokat.ru/upload/iblock/e61/e618ebc5db9d2c6acf9c406a6af87de0.jpg;2018;Дизельный 3.0;245 л.с.;полный;24000;mercedes-benz;Бесплатно;3300;500;1500;1000;50;Hands free;Полноцветный ЖК-монитор;Объем багажника 481 л;Объем топливного бака 96 л;Круиз-контроль;Датчик дождя/света;Парктроники перед/зад, камера заднего обзора;Акустическая система Harman Kardon Logic7;Вентиляция сидений водителя и пассажира;Мультиконтурное сиденье водителя и пассажира;Спорт-пакет;Электрический сдвижной/подъемный люк;USB;;;;;;;;;;;;;;;;;"
            Mercedes-Benz G 350 d 4MATIC 2018года производят очень внушительное впечатление: автомобиль выглядит солидно, респектабельно и необычно. Модель оснащается 3-литровым дизелем V6, выдающим впечатляющие 245 л.с. Благодаря полному приводу, машина демонстрирует превосходные внедорожные характеристики        ";vnedorozhnik
Mercedes Benz G-Class 350d AMG Рестайлинг;AT;https://prostoprokat.ru/upload/iblock/e61/e618ebc5db9d2c6acf9c406a6af87de0.jpg;2018;Дизельный 3.0;245 л.с.;полный;24000;mercedes-benz;Бесплатно;3300;500;1500;1000;50;Hands free;Полноцветный ЖК-монитор;Объем багажника 481 л;Объем топливного бака 96 л;Круиз-контроль;Датчик дождя/света;Парктроники перед/зад, камера заднего обзора;Акустическая система Harman Kardon Logic7;Вентиляция сидений водителя и пассажира;Мультиконтурное сиденье водителя и пассажира;Спорт-пакет;Электрический сдвижной/подъемный люк;USB;;;;;;;;;;;;;;;;;"
            Mercedes-Benz G 350 d 4MATIC 2018года производят очень внушительное впечатление: автомобиль выглядит солидно, респектабельно и необычно. Модель оснащается 3-литровым дизелем V6, выдающим впечатляющие 245 л.с. Благодаря полному приводу, машина демонстрирует превосходные внедорожные характеристики        ";vip
Mercedes Benz s350d w223;AT;https://prostoprokat.ru/upload/resize_cache/iblock/19a/534_300_1/19a0b65ff3ed63d2d9abe6584ca4cd60.jpg;2021;3.0 дизель;249 л.с.;Полный;35000;mercedes-benz;Бесплатно;5000;500;1500;1000;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
            Скоро новый авто в нашем парке         ";vip
Mercedes-Benz C180 W205 AMG;AT;https://prostoprokat.ru/upload/resize_cache/iblock/0cd/534_300_1/Mercedes_Benz-C_Klass-AMG-sedan.jpeg;2016;1,6 л турбонаддув;150л.с.;Задний;7000;mercedes-benz;Бесплатно;1300;500;1500;1000;50;Стайлинг AMG;Серебристый бриллиант металлик;Электрорегулировка сидений, обогрев сидений;Запуск двигателя с кнопки;Парктроник передний и задний;Система помощи при парковке;Объём топливного бака 41 л;Климат-контроль;Активный усилитель руля;Кожаный салон (черный);Отделка кожей рулевого колеса/Мультифункциональное рулевое колесо;Светодиодные фары, датчик света/дождя;Тормоза с перфорацией;Мультимедийный дисплей,MP3,Bluetooth,USB 2-in;Литые диски R18 (разноширокие от AMG);Объем багажника 480 л;Черный потолок;Подрулевые лепестки;Система “старт-стоп”;Тонированные стекла;АКПП 7 ст.;;;;;;;;;"
Компания «ПростоПрокат» предлагает клиентам аренду Mercedes C-класса в Москве. В наличии модель 2016 года выпуска изысканного серебристого цвета. Внешне авто напоминает флагманский S-класс W222. Нотку спортивного норова в экстерьер вносят 18-дюймовые разноширокие диски и фирменный AMG-пакет. Под капотом находится экономичный и достаточно мощный 1,6-литровый двигатель на 156 л. с. Он работает в паре с автоматической трансмиссией 7G-Tronic Plus и разгоняет авто до сотни за 8,2 с. Расход на 100 км пути в смешанном цикле составляет 5,9 л.
Чем примечателен прокат Мерседес С-класса в кузове W205?
При аренде вы получаете высокотехнологичный немецкий седан с оформленными страховками КАСКО и ОСАГО. Новинка, благодаря внедрению в кузов алюминия, стала легче предшественника на 100 кг. Разработана модернизированная ходовая часть: спереди установлены двойные поперечные рычаги, сзади – независимая многорычажная конструкция. Вы будете приятно удивлены энергоемкости и мягкости подвески!
Порадует и активный парктроник, богатая комплектация W205. Оформив прокат Мерседес С-класса от  «ПростоПрокат», вы получите авто с обогревом и электрорегулировкой сидений, активным ГУР, мультимедийной установкой, системой «Старт/Стоп», подрулевыми лепестками для быстрого переключения передач. 
Интерьер С180 уверенно конкурирует с внутренним убранством автомобилей более высокого класса. Для оформления использованы высококлассные материалы, которые приятны на ощупь и имеют респектабельный внешний вид. Переднюю панель приборов сконструировали таким образом, чтобы водитель и пассажир не чувствовали себя стесненными в движениях. Благодаря металлической каемке круглые вентиляционные отверстия выглядят спортивно, прекрасно гармонируя с отделкой из дерева и кожи.
Аренда Мерседес С-класса с водителем в Москве доступна только для юридических лиц. Ведь, несмотря на то, что на задних сиденьях достаточно места для комфортного перемещения по столице, этот автомобиль прежде всего сконструирован с ориентацией на удобство водителя. Поэтому автомобилистам куда приятнее оказаться не на заднем сиденье, а за рулем практически нового С-класса. Такую возможность предоставляет «ПростоПрокат».
Аренда Мерседес С-класса без водителя в нашей компании выгодна по нескольким причинам:

Требуется минимальный пакет документов.
Оформление занимает 15 минут.
Постоянным клиентам и тем, кто заказывает длительную аренду, предоставляются ощутимые скидки – до 40%. Их обговаривают индивидуально, с менеджером.

100% гарантия исправной машины (вы получаете чистый, проверенный автомобиль).
";business
Mercedes-Benz E200d W213;AT;https://prostoprokat.ru/upload/resize_cache/iblock/c68/534_300_1/mercedes_benz_e200d.jpeg;2018;2л, турбонаддув;150л.с.;Задний;7900;mercedes-benz;Бесплатно;1500;500;1500;1000;50;Объем багажника 540 л;Коробка передач автомат 9 ст.;Объём топливного бака, 50 л;Литые диски R16;Климат-контроль;Система помощи при парковке;Активный усилитель руля;Кожаный салон;Отделка кожей рулевого колеса/Мультифункциональное рулевое колесо;Электрорегулировка сидений, обогрев сидений;Светодиодные фары, датчик света/дождя;Электрообогрев форсунок стеклоомывателей;ABS, ESP, датчик усталости водителя;Круиз-контроль,возможность установки ограничения скорости;Датчики парковки перед/зад;Камера заднего вида;Мультимедийный дисплей,MP3,Bluetooth,USB 2-in,SD;Навигация;Подрулевые лепестки;Электрорегулировка зеркал с автоматическим складыванием;Запуск с кнопки, старт/стоп;Электро ручник;;;;;;;;"
Быстро найти автомобиль бизнес-класса на время приезда деловых партнеров, особенно когда нужно подчеркнуть свой статус, довольно просто. Для этого существует такая услуга, как аренда Мерседес Е класса от компании «Просто Прокат». Оформление занимает порядка 10-20 минут при наличии паспорта, водительского удостоверения и еще одного документа, удостоверяющего личность (загранпаспорт, ИНН).
Возможна аренда Мерседес Е класса с водителем, такая услуга востребована, когда есть необходимость в опытном помощнике.
Mercedes Benz E200D W213 - преимущества
Клиент получает следующие преимущества:

Старт и остановка двигателя автомобиля по нажатию кнопки.
Простое управление за счет активного усилителя руля.
Быстрая парковка с помощью электронного помощника.
Ручник, регулировка кресел, зеркал с электрическим приводом.
Возможность автоматического складывания зеркал после остановки.

Экономичный двигатель на 2 л расходует всего 4,3 л на 100 км (дизельное топливо, ДТ). В автомобиле задний привод, поэтому может понадобиться опытный водитель, особенно на случай поездок по Москве. В пределах области больше важен объем бака на 50 л. Также стоит обратить внимание на багажник, его объем составляет 540 л.
Салон, отделанный кожей, придает дополнительной солидности этой модели. Благодаря наличию систем ABS, ESP, датчику усталости, парковки спереди и сзади, Мерседес Е класса в аренду станет одним из самых удобных и безопасных автомобилей в пользовании, что доступны на рынке проката авто.
Повышенная динамика езды в условиях пробок достигается за счет 9-ступенчатой КПП. В холодное время будет полезен подогрев форсунок стеклоомывателей. Пассажиры вместе с водителем сидят на креслах с подогревом, и климат-контроль обеспечивает им комфортную атмосферу во время движения и на парковке. Так что аренда Мерседес Е класса весьма выгодна. ";business
MERCEDES-BENZ G350 NEW;AT;https://prostoprokat.ru/upload/resize_cache/iblock/212/534_300_1/212d25f3db92c75468e4161922d1a890.jpeg;2020;3.0 дизель;249 л.с.;Полный;39900;mercedes-benz;Бесплатно;5000;500;1500;1000;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
            Mercedes G350 в новом кузове - совершенно иной автомобиль и совсем не похож по комфорту на предыдущий. 
Автомобиль уже доступен в прокате. 
Роскошь в сочетании с брутальностью  - равных ему нет. 
Минимальный срок аренды Mercedes G350 в новом кузове - 24 часа. 

Топливный бак 100 л.
Дизель
Цвет черный
Цвет салона кожа черный
Объем двигателя,куб.см. 2925.
Мощность кВт (л.с.)    286 л.с.
Максимальная скорость, км/ч 199
Разгон до 100км/ч,с 7.40
Расход топлтва,л/100км (город/трасса/смешанный)10.80 8.90 9.60
Масса,кг (снаряженная) 2453
Дистанционный контроль автомобиля 
Мониторинг автомобиля
Дистанционный запуск двигвателя
Крепление для детского седения i-Size
Активная система удержания полосы движения
Электронная система стабилизации (ESP)
Сдвижной стеклянный люк
Ветровое стекло с подогревом
АКПП 9G-TRONIK
Шины 275/50/R20
Система камер 360
Мультифункциональное рулевое колесо с обогревом
Акустическая система объемного звучания Burmester
 
	
        ";vnedorozhnik
MERCEDES-BENZ G350 NEW;AT;https://prostoprokat.ru/upload/resize_cache/iblock/212/534_300_1/212d25f3db92c75468e4161922d1a890.jpeg;2020;3.0 дизель;249 л.с.;Полный;39900;mercedes-benz;Бесплатно;5000;500;1500;1000;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
            Mercedes G350 в новом кузове - совершенно иной автомобиль и совсем не похож по комфорту на предыдущий. 
Автомобиль уже доступен в прокате. 
Роскошь в сочетании с брутальностью  - равных ему нет. 
Минимальный срок аренды Mercedes G350 в новом кузове - 24 часа. 

Топливный бак 100 л.
Дизель
Цвет черный
Цвет салона кожа черный
Объем двигателя,куб.см. 2925.
Мощность кВт (л.с.)    286 л.с.
Максимальная скорость, км/ч 199
Разгон до 100км/ч,с 7.40
Расход топлтва,л/100км (город/трасса/смешанный)10.80 8.90 9.60
Масса,кг (снаряженная) 2453
Дистанционный контроль автомобиля 
Мониторинг автомобиля
Дистанционный запуск двигвателя
Крепление для детского седения i-Size
Активная система удержания полосы движения
Электронная система стабилизации (ESP)
Сдвижной стеклянный люк
Ветровое стекло с подогревом
АКПП 9G-TRONIK
Шины 275/50/R20
Система камер 360
Мультифункциональное рулевое колесо с обогревом
Акустическая система объемного звучания Burmester
 
	
        ";vip
MERCEDES-BENZ S350D W222 Рестайлинг;AT;https://prostoprokat.ru/upload/resize_cache/iblock/980/534_300_1/mercedes_s_klass.jpeg;2018;V-образный, 6-цилиндровый, 350d;249лс;полный;21000;mercedes-benz;Бесплатно;3000;500;1500;1000;50;Фары LED High Performance ;Обивка потолка тканью черного цвета ;Сенсорная панель Touchpad с контроллером ;Навигационная система ;Активный ассистент торможения ;Активный парковочный ассистент включая PARKTRONIC ;Камера заднего вида ;Система беспроводной зарядки для мобильных устройств ;Легкосплавные колесные диски r18 с 5 сдвоенными спицами ;Кожа черная ;Дополнительное оборудование аудиосистемы 8 динамиков, USB, SD-слот ;Объем топливного бака 70л;Объем багажника 530л;Пневматическая подвеска;Круиз-контроль;;;;;;;;;;;;;;;"
            Аренда мерседеса люкс класса 222 кузов  рестайлинг в Просто Прокате без водителя.

Mercedes S 350D 4MATIC рестайлинг– признанный эталон среди машин премиум-класса. Этот представительский автомобиль универсален и прекрасно подойдёт как для деловых, так и для туристических поездок.

Комфорт водителя и пассажиров достигается благодаря множеству вспомогательных опций, разработанных специалистами Mercedes: система автоматического климат-контроля THERMOTRONIC, четырёхступенчатая поясничная поддержка на передних сиденьях, подголовники повышенной комфортности EASY ADJUST, система COMAND ONLINE.

Мягкое вождение и высокую манёвренность на дороге гарантируют 7-ми ступенчатая автоматическая коробка передач, постоянный полный привод 4MATIC

Идея гармоничного сочетания простора, красоты и функциональности определяет концепцию внутреннего и внешнего дизайна – подчеркнуто стильного, лаконичного и продуманного до мелочей.

В 2017 году флагманская серия подверглась комплексному рестайлингу, который привнёс изменения во внешний вид, набор электронных систем и модельный ряд двигателей автомобиля. Внешние изменения затронули оптику, бампера и решётку радиатора, в то время как внутренние коснулись рулевого колеса, цветовой палитры отделки и некоторых элементов передней панели (в частности дисплеи были помещены под единое стекло). Обновились существующие и добавились новые системы помощи водителю.        ";vip
MERCEDES-BENZ S350D W222 Рестайлинг;AT;https://prostoprokat.ru/upload/resize_cache/iblock/230/534_300_1/mercedes_s_klass.jpeg;2017;V-образный, 6-цилиндровый, 350d;249лс;полный;19000;mercedes-benz;Бесплатно;3000;500;1500;1000;50;Фары LED High Performance ;Обивка потолка тканью черного цвета ;Сенсорная панель Touchpad с контроллером ;Навигационная система ;Активный ассистент торможения ;Активный парковочный ассистент включая PARKTRONIC ;Камера заднего вида ;Система беспроводной зарядки для мобильных устройств ;Легкосплавные колесные диски r18 с 5 сдвоенными спицами ;Кожа черная ;Заднее сиденье с электрорегулировками и функцией запоминания ;Объем топливного бака 70л;Объем багажника 530л;Пневматическая подвеска;Круиз-контроль;Дополнительное оборудование аудиосистемы 8 динамиков, USB, SD-слот ;;;;;;;;;;;;;;"
Аренда Mercedes S класса
Рейсталинговый Mercedes S класса w222 — это не просто немецкое качество и максимум комфорта. Быстрая и удобная аренда Мерседес 222 без водителя в Москве позволит почувствовать совершенство автомобиля, смело шагнувшего в будущее.
Совершенство внешнего и внутреннего
Внешний облик Мерседеса элитного класса впечатляет плавностью линий и мощью двойной решетки радиатора. «Внутренний мир» автомобиля брутален и роскошен. Мультиконтурные сидения, обитые натуральной черной кожей, поддерживают водителя и пассажиров воздушными камерами.
В рейстайлинговом трехспицевом руле до мелочей продуманы сенсорные панели. Экран и графическая панель бортового компьютера размещены в центре под единым стеклом.
Дополнительное удобство обеспечено Energizing Comfort Control. Эта «система систем» для полной релаксации управляет климат-контролем, подсветкой салона, вентиляцией сидений, аудиосистемой и ароматизатором. Вам останется лишь легким нажатием кнопки сенсорной панели выбрать необходимые режимы: «Энергичность», «Свежесть», «Тепло», «Радость», «Уют», «Тренировка». Десятиминутный сеанс релаксации, массажа или легкого тренинга вам обеспечен.
Безопасность и комфорт
Электронные начинки автомобиля достигли того уровня, когда роль водителя в процессе движения сводится практически к нулю. Да, на плохих дорогах по-прежнему нужен визуальный контроль и рулевое управление. На хороших трассах за вас все сделает умная машина:

обеспечит необходимую дистанцию с впереди идущим авто;
экстренно затормозит перед препятствием;
считает дорожные знаки;
понизит скорость до нужной;
подрулит на поворотах.

Никаких неудобств не доставит и парковка. Правильно припарковаться поможет активный парковочный ассистент. Для поездки в ночное время незаменим подспорьем станет система Multibeam. Светодиодные матричные фары покрывают дорожное полотно мягким светом на расстоянии 650 м. Датчики распознают встречные автомобили и снижают яркость свечения. Водителю такого автомобиля останется лишь расслабиться и насладить дорогой, не концентрируя на ней внимания.
Мощь автомобиля обеспечивает 6-цилиндровый турбированный мотор 249 л.с., а полный привод повышает проходимость. Мягкая адаптивная пневматическая подвеска с системой Dynamic Select обеспечит комфорт при движении по любой дороге. При этом вы практически не услышите его шума, настолько хорошо проработана шумоизоляция.
Лучший автопрокат в Москве
Взять в прокат Мерседес S класса w222 можно для различных целей:

торжественных и значимых мероприятий;
деловой поездки;
путешествий и туризма;
трансфера в аэропорт;
встречи гостей.

Арендуя автомобиль S класса, вы обеспечиваете себе максимум комфорта, полное единение с дорогой и скоростью.
Об условиях аренды вы можете узнать в соответствующем разделе сайта. ";vip
